Наименование;Цена;До;Тип тендера;От;Регион;Отрасль
Аренда и продажа земельных участков Земли населенных пунктов по адресу Ростовская обл Таганрог г Бартини ул;305400;22.03.2021;Аукцион;17.02.2021;Ростовская область Южный ФО Таганрог;Строительство недвижимость и архитектура Недвижимость;;
Ассоциация саморегулируемая организация Объединение арбитражных управляющих Лидер объявляет тендер Продажа имущества должника торги по продаже имущества супруги должника Лот Помещение нежилое Кладовая Адрес Ростов на Дону ул Волкова комната этаж Площадь кв м Собственник Немова Елена Николаевна Кадастровый номер Данных о наличии либо отсутствии обременений и арестов в отношении имущества не имеется;120000;25.03.2021;Аукцион;11.02.2021;Ростовская область Южный ФО Таганрог;Строительство недвижимость и архитектура Недвижимость;;
Право заключить договор на поставку термобумаги для нужд МБУЗ ГБСМП;42000;16.03.2021;Запрос котировок;05.03.2021;Ростовская область Южный ФО Таганрог;Бумажное производство тара и упаковка Бумажное производство;;
ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ТАГАНРОГСКИЙ АВИАЦИОННЫЙ НАУЧНО ТЕХНИЧЕСКИЙ КОМПЛЕКС ИМ Г М БЕРИЕВА объявляет тендер Поставка материалов на изготовление оснастки для ВТАС и РПО;561184;09.03.2021;Запрос котировок;26.02.2021;Ростовская область Южный ФО Таганрог;Деревообработка лес Лесопиломатериалы;;
АКЦИОНЕРНОЕ ОБЩЕСТВО ТАГАНРОГСКИЙ ЗАВОД ПРИБОЙ объявляет тендер Поставка ремкомплектов картриджей для принтеров и МФУ;не указано;09.03.2021;Запрос котировок;01.03.2021;Ростовская область Южный ФО Таганрог;компьютеры связь Компьютеры комплектующие оргтехника сети и сетевое оборудование;;
Хозяйственные товары;33898;12.03.2021;Запрос котировок;03.03.2021;Ростовская область Южный ФО Таганрог;Легкая промышленность Хозяйственные изделия;;
АКЦИОНЕРНОЕ ОБЩЕСТВО ТАГАНРОГСКИЙ ЗАВОД ПРИБОЙ объявляет тендер Поставка специальной одежды специальной обуви и других средств индивидуальной защиты;не указано;09.03.2021;Запрос котировок;01.03.2021;Ростовская область Южный ФО Таганрог;Легкая промышленность Одежда и обувь;;
ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ТАГАНРОГСКИЙ АВИАЦИОННЫЙ НАУЧНО ТЕХНИЧЕСКИЙ КОМПЛЕКС ИМ Г М БЕРИЕВА объявляет тендер Поставка технических ткаей для выполнения ремонта самолета ТУ МЗ;1125297;11.03.2021;Запрос котировок;26.02.2021;Ростовская область Южный ФО Таганрог;Легкая промышленность Галантерейная продукция ткани;;
АКЦИОНЕРНОЕ ОБЩЕСТВО КРАСНЫЙ ГИДРОПРЕСС объявляет тендер Право заключения договора на поставку спецодежды спецобуви и других средств индивидуальной защиты;1464281;09.03.2021;Запрос котировок;24.02.2021;Ростовская область Южный ФО Таганрог;Легкая промышленность Одежда и обувь;;
Георгиевские ленточки;29070;12.03.2021;Запрос котировок;20.02.2021;Ростовская область Южный ФО Таганрог;Легкая промышленность Галантерейная продукция ткани;;
Хозяйственные товары;10747;09.03.2021;Запрос котировок;17.02.2021;Ростовская область Южный ФО Таганрог;Легкая промышленность Хозяйственные изделия;;
АКЦИОНЕРНОЕ ОБЩЕСТВО ТАГАНРОГСКИЙ НАУЧНО ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ СВЯЗИ объявляет тендер Поставка поликоровых подложек ПК ПК в ассортименте;306549;10.03.2021;Запрос котировок;26.02.2021;Ростовская область Южный ФО Таганрог;Медицина фармакология Лекарственные препараты витамины расходные материалы;;
АКЦИОНЕРНОЕ ОБЩЕСТВО КРАСНЫЙ ГИДРОПРЕСС объявляет тендер Право заключения договора на поставку металлопроката сортового;620390;11.03.2021;Запрос котировок;02.03.2021;Ростовская область Южный ФО Таганрог;Металлы металлоизделия Металлоизделия и металлоконструкции;;
ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ТАГАНРОГСКИЙ АВИАЦИОННЫЙ НАУЧНО ТЕХНИЧЕСКИЙ КОМПЛЕКС ИМ Г М БЕРИЕВА объявляет тендер Поставка замков УН для А борт;541440;10.03.2021;Запрос котировок;26.02.2021;Ростовская область Южный ФО Таганрог;Металлы металлоизделия Металлоизделия и металлоконструкции;;
АКЦИОНЕРНОЕ ОБЩЕСТВО КРАСНЫЙ ГИДРОПРЕСС объявляет тендер Право заключения договора на поставку металлопроката сортового;848658;10.03.2021;Запрос котировок;24.02.2021;Ростовская область Южный ФО Таганрог;Металлы металлоизделия Металлоизделия и металлоконструкции;;
